bakje,jaar,maand,dag,berging,afstroming,netto drainage,kwel,netto neerslag
verhard,1996,11,1,1826.194500,0.000000,-365.238900,365.238900,-608.731500
verhard,1996,11,2,2434.926000,-4626.359400,-365.238900,365.238900,5235.090900
verhard,1996,11,3,2434.926000,-2191.433400,-365.238900,365.238900,2191.433400
verhard,1996,11,4,2434.926000,-9496.211400,-365.238900,365.238900,9496.211400
verhard,1996,11,5,2434.926000,-8522.241000,-365.238900,365.238900,8522.241000
verhard,1996,11,6,2434.926000,-1095.716700,-365.238900,365.238900,1095.716700
verhard,1996,11,7,2434.926000,-20088.139500,-365.238900,365.238900,20088.139500
verhard,1996,11,8,2434.926000,-365.238900,-365.238900,365.238900,365.238900
verhard,1996,11,9,2434.926000,-1826.194500,-365.238900,365.238900,1826.194500
verhard,1996,11,10,2434.926000,-12174.630000,-365.238900,365.238900,12174.630000
verhard,1996,11,11,2434.926000,-16435.750500,-365.238900,365.238900,16435.750500
verhard,1996,11,12,2434.926000,-1704.448200,-365.238900,365.238900,1704.448200
verhard,1996,11,13,2434.926000,-1095.716700,-365.238900,365.238900,1095.716700
verhard,1996,11,14,1582.701900,0.000000,-365.238900,365.238900,-852.224100
verhard,1996,11,15,852.224100,0.000000,-365.238900,365.238900,-730.477800
verhard,1996,11,16,486.985200,0.000000,-365.238900,365.238900,-365.238900
verhard,1996,11,17,1217.463000,0.000000,-365.238900,365.238900,730.477800
verhard,1996,11,18,2434.926000,-2678.418600,-365.238900,365.238900,3895.881600
verhard,1996,11,19,2434.926000,-14974.794900,-365.238900,365.238900,14974.794900
verhard,1996,11,20,2434.926000,-5965.568700,-365.238900,365.238900,5965.568700
verhard,1996,11,21,2434.926000,-4748.105700,-365.238900,365.238900,4748.105700
verhard,1996,11,22,2434.926000,-44072.160600,-365.238900,365.238900,44072.160600
verhard,1996,11,23,2434.926000,-2434.926000,-365.238900,365.238900,2434.926000
verhard,1996,11,24,2434.926000,-8643.987300,-365.238900,365.238900,8643.987300
verhard,1996,11,25,2434.926000,-12296.376300,-365.238900,365.238900,12296.376300
verhard,1996,11,26,2191.433400,0.000000,-365.238900,365.238900,-243.492600
verhard,1996,11,27,1826.194500,0.000000,-365.238900,365.238900,-365.238900
verhard,1996,11,28,2434.926000,-5600.329800,-365.238900,365.238900,6209.061300
verhard,1996,11,29,2434.926000,-7791.763200,-365.238900,365.238900,7791.763200
verhard,1996,11,30,2434.926000,-14853.048600,-365.238900,365.238900,14853.048600
verhard,1996,12,1,2434.926000,-3408.896400,-365.238900,365.238900,3408.896400
verhard,1996,12,2,2434.926000,-365.238900,-365.238900,365.238900,365.238900
verhard,1996,12,3,2434.926000,-9739.704000,-365.238900,365.238900,9739.704000
verhard,1996,12,4,1947.940800,0.000000,-365.238900,365.238900,-486.985200
verhard,1996,12,5,1582.701900,0.000000,-365.238900,365.238900,-365.238900
verhard,1996,12,6,1704.448200,0.000000,-365.238900,365.238900,121.746300
verhard,1996,12,7,1582.701900,0.000000,-365.238900,365.238900,-121.746300
verhard,1996,12,8,1460.955600,0.000000,-365.238900,365.238900,-121.746300
verhard,1996,12,9,1460.955600,0.000000,-365.238900,365.238900,0.000000
verhard,1996,12,10,1460.955600,0.000000,-365.238900,365.238900,0.000000
verhard,1996,12,11,1460.955600,0.000000,-365.238900,365.238900,0.000000
verhard,1996,12,12,1947.940800,0.000000,-365.238900,365.238900,486.985200
verhard,1996,12,13,2434.926000,-121.746300,-365.238900,365.238900,608.731500
verhard,1996,12,14,2313.179700,0.000000,-365.238900,365.238900,-121.746300
verhard,1996,12,15,2069.687100,0.000000,-365.238900,365.238900,-243.492600
verhard,1996,12,16,1826.194500,0.000000,-365.238900,365.238900,-243.492600
